"Black Rain","Citizen Kane","Structure/Foundation (What's the Plan)","1996","1990's","Hip-Hop","Life","YouTube"
"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007","Amy Winehouse","Back To Black: B-Sides","2007","2000's","R&B Classics","Love","All"
"Waiting In Vain","Bob Marley & The Wailers","Exodus (Deluxe Edition)","1977","1970's","Reggae Classics","Heartbreak","All"
"Love And Happiness","Al Green","I'm Still in Love with You","1972","1970's","R&B Classics","Love","All"
"Hotel (feat. R. Kelly)","Cassidy","Split Personality","2004","2000's","Hip-Hop","Party","All"
"Tired of Being Alone","Al Green","Gets Next to You","1971","1970's","R&B Classics","Love","All"
